District,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean,latitude,longitude
أم سليم,3819.00596,3847.7867,4009.2147,4425.332825,4912.55579,4263.904825,24.6337716,46.693374
الازدهار,3947.30056,4877.316725444586,7356.09636486238,8749.2074,10465.865516925052,7239.337571636222,24.7806701,46.7072056
الاندلس,2374.0296576,3167.31235,4342.857142857143,5268.5594,6431.03884049693,4629.603691109589,24.4681475,46.2751652
البرية,397.4603174603175,541.8623188405797,634.0,771.7116402116402,912.8,678.2440830279489,24.5479287,46.8974906
الجزيرة,619.0,619.8347107438017,1468.6376737604774,2947.265625,4242.7,1966.111585859211,24.0809367,45.2766519
الحمراء,2290.840857467348,3370.656761518744,4833.161600615622,5656.0,6875.273964923759,4685.876050602947,24.7756038,46.7329829
الديرة,1232.83626,1732.25,1928.31835,4748.407407407407,13224.563829795925,5655.832993738678,24.6305888,46.700551
الربوة,2043.6917846486783,2996.25,3851.562376789168,4630.5,6406.0,3941.0892569718167,24.6937822,46.7341259
الربيع,3596.4102691924227,4451.690406162465,6964.7624,7702.6866605311825,9104.63241,6397.7720279880905,24.7945381,46.6400312
الرمال,2000.0,2380.2340643969933,2800.0,4007.4947402718303,5228.169787593786,3231.407491320756,24.8493607,46.786046
السعادة,1900.0,2200.0,2250.0,2539.21355,4040.735387553279,2623.2466345178286,24.6855992,46.834467
الشهداء,2951.7447476125512,4584.5,5459.712100000001,6370.5,8185.827546071778,5616.8994513057805,24.7882142,46.7252289
الصالحية,1139.3719806763286,2300.906851476264,3809.2956,4748.156185738255,6562.0169,3887.0096631606566,24.6343203,46.7289191
الضباط,2000.0,2555.555555555556,3302.0,5200.0,7804.11667154424,4658.095382356099,24.6799796,46.7026043
العليا,3240.0,4166.666666666667,6000.0,17500.0,21000.0,10003.145975672904,24.6923948,46.6629288
الفاروق,1400.0,2099.647875,2520.833333333333,2650.0,2750.0,2295.725216790692,24.6537991,46.7527437
الفلاح,2345.3318400000003,3637.06835,4960.5351,6885.22765,11382.16764,5695.56557368421,24.7971265,46.6989112
الفيصلية,541.3440800000001,1296.634075,1708.925986054422,2198.2937,2701.610556194984,1713.139194438235,24.634538,46.7611167
القدس,3658.4666666666662,4832.0,6215.657365540218,6836.0,8588.35864,6021.288956991452,24.7539725,46.7338537
المغرزات,3965.2171,5952.380952380952,8202.170963364993,8767.4594,9902.44434045988,7507.631487998393,24.7640849,46.7154823
الملز,1626.842105263158,2100.0,2755.555555555556,4444.222222222223,6624.26664,3774.810116779937,24.664643,46.7147777
الملك فيصل,1670.3624,3040.0,3920.0,5212.663927982334,6230.348971785197,4083.043106587998,24.7617713,46.7541285
المنار,2600.0,3071.4615384615386,4000.0,5528.5,6972.19190968956,4364.777875269612,24.7253319,46.7766591
المونسية,2584.900675090877,3720.0,4689.0,5712.0,6846.481481481484,4703.928634345946,24.8317156,46.7474946
الناصرية,1640.2089136490251,2789.745575,4081.8008903115287,5655.774575,7431.68546489152,4482.986825817335,24.6518925,46.6711015
الندوة,1022.2222222222224,1537.0,2175.383152173913,2499.99875,3142.857122857144,2159.9850655544565,24.8003229,46.8535166
الندوة,1022.2222222222224,1537.0,2175.383152173913,2499.99875,3142.857122857144,2159.9850655544565,24.8003229,46.8535166
الندى,2635.6111111111118,3150.0,4607.0,7808.757305739196,10534.191735537192,5789.895097934886,24.805828,46.6726775
الندى,2635.6111111111118,3150.0,4607.0,7808.757305739196,10534.191735537192,5789.895097934886,24.805828,46.6726775
النفل,2539.1525423728813,4608.80555,7690.169817927171,10046.21132669114,11462.48952923438,7319.194864208267,24.7818657,46.6630526
النفل,2539.1525423728813,4608.80555,7690.169817927171,10046.21132669114,11462.48952923438,7319.194864208267,24.7818657,46.6630526
الهدا,4489.99596,4894.0705,6299.44500750346,7570.219392752204,10889.115099951969,6911.106196282216,24.4553471,46.2595647
الوادي,2223.3134933333336,3809.5238095238096,4636.3636,6834.501254433774,7655.796816363638,5090.278791333802,24.7894464,46.6809594
الوادي,2223.3134933333336,3809.5238095238096,4636.3636,6834.501254433774,7655.796816363638,5090.278791333802,24.7894464,46.6809594
الوزارات,2649.735436402116,3431.0,4444.4444,6113.53711790393,7537.200000000001,5115.79884366865,24.6791496,46.6926694
اليرموك,2068.754827484421,2950.0,3966.740223463688,5292.187021127003,6413.19285387082,4153.480136286537,24.8079578,46.7630003
اليمامة,828.7711600000001,1304.8078,2193.9447125932425,2714.0,2728.0,2101.767409561029,24.5961728,46.7055682
بنبان,1242.857142857143,1242.857142857143,1836.734693877551,2142.8571428571427,2168.5714285714284,1729.6651825047968,24.992643,46.4609621
ثليم,934.4,1157.8947,2337.4888,4537.521815008726,6200.850400000001,3472.2733718632376,24.6414922,46.7220727
جرير,2000.0,2489.0,4133.0,5780.379780116777,6765.347705753825,4241.372565464707,24.6772501,46.7404221
ديراب,666.6666666666666,992.0,1100.0,1718.213058419244,3255.0,1539.8102106569013,24.5103782,46.5780372
شبرا,1400.0,1968.896,2398.5617,3458.9895273513384,4525.8,2758.960423862963,24.5788324,46.6474562
طويق,1211.4538896969696,1800.0,2250.0,3524.0803665013395,4161.267360000001,2584.70316627274,24.4747984,46.2830362
عرقة,2910.0,4450.0,6000.0,7462.573297761621,9024.787458456512,6075.703943905368,24.6889803,46.5079581
غرناطة,1734.8571428571431,3254.73525,4600.0,6314.372268091307,7634.974288813559,4790.688399062708,24.7920141,46.723755
قرطبة,3233.3125201455086,4850.0,5859.0,6813.0326,8330.302111751036,5871.721415731119,24.817733,46.7357229
